#======= PATHPLANNER 2024 TRAJECTORY BEGIN: Sample PathPlanner Trajectory
#----------------------------------------------------------------------------------------------
# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
#----------------------------------------------------------------------------------------------
#   Time,       X Position,   Y Position,      Heading,      Velocity,      Acceleration, Curvature, Holonomic Rotation, Angular Velocity, Holonomic Angular Velocity, Comment 
#   Seconds,     Meters,     Meters,    Degrees, Meters/Sec,Meters/Sec^2, Radians/Meter,  Degrees, Degrees/Sec, Degrees/Sec, 
   0.00000,    1.00000,    1.00000,    0.00000,    0.00000,    0.00000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  1
   0.10351,    1.01500,    1.00000,    0.00000,    0.28983,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  2
   0.14639,    1.03000,    1.00000,    0.00000,    0.40988,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  3
   0.17928,    1.04500,    1.00000,    0.00000,    0.50200,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  4
   0.20702,    1.06000,    1.00000,    0.00000,    0.57966,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  5
   0.23146,    1.07500,    1.00000,    0.00000,    0.64807,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  6
   0.25355,    1.09000,    1.00000,    0.00000,    0.70993,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  7
   0.27386,    1.10500,    1.00000,    0.00000,    0.76681,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  8
   0.29277,    1.12000,    1.00000,    0.00000,    0.81976,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  9
   0.31053,    1.13500,    1.00000,    0.00000,    0.86948,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  10
   0.32733,    1.15000,    1.00000,    0.00000,    0.91652,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  11
   0.34330,    1.16500,    1.00000,    0.00000,    0.96125,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  12
   0.35857,    1.18000,    1.00000,    0.00000,    1.00399,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  13
   0.37321,    1.19500,    1.00000,    0.00000,    1.04499,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  14
   0.38730,    1.21000,    1.00000,    0.00000,    1.08444,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  15
   0.40089,    1.22500,    1.00000,    0.00000,    1.12250,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  16
   0.41404,    1.24000,    1.00000,    0.00000,    1.15931,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  17
   0.42678,    1.25500,    1.00000,    0.00000,    1.19499,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  18
   0.43916,    1.27000,    1.00000,    0.00000,    1.22963,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  19
   0.45119,    1.28500,    1.00000,    0.00000,    1.26333,    2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  20
   0.53851,    1.30000,    1.00000,    3.13410,    1.50783,    2.80000,    0.80417,    0.00000,    0.62641,    0.00000,Segment:  21
   0.61473,    1.42081,    1.00662,    9.04592,    1.72124,    2.80000,    0.84520,    0.00000,    1.35378,    0.00000,Segment:  22
   0.68375,    1.54234,    1.02596,   14.46183,    1.91449,    2.80000,    0.76043,    0.00000,    1.36959,    0.00000,Segment:  23
   0.74875,    1.66383,    1.05730,   19.42696,    2.02386,    1.68269,    0.68359,    0.00000,    1.33323,    0.00000,Segment:  24
   0.81157,    1.78453,    1.09987,   24.00072,    2.12929,    1.67819,    0.61757,    0.00000,    1.27067,    0.00000,Segment:  25
   0.87246,    1.90371,    1.15293,   28.24787,    2.22966,    1.64836,    0.56322,    0.00000,    1.21741,    0.00000,Segment:  26
   0.93164,    2.02061,    1.21574,   32.23334,    2.31983,    1.52353,    0.52029,    0.00000,    1.17532,    0.00000,Segment:  27
   0.98939,    2.13449,    1.28754,   36.01977,    2.39522,    1.30557,    0.48805,    0.00000,    1.14443,    0.00000,Segment:  28
   1.04598,    2.24460,    1.36760,   39.66679,    2.45200,    1.00328,    0.46571,    0.00000,    1.12462,    0.00000,Segment:  29
   1.10174,    2.35019,    1.45516,   43.23135,    2.48728,    0.63273,    0.45259,    0.00000,    1.11578,    0.00000,Segment:  30
   1.15697,    2.45052,    1.54948,   46.76865,    2.49925,    0.21665,    0.44827,    0.00000,    1.11783,    0.00000,Segment:  31
   1.21199,    2.54484,    1.64981,   50.33321,    2.48728,   -0.21748,    0.45259,    0.00000,    1.13079,    0.00000,Segment:  32
   1.26711,    2.63240,    1.75540,   53.98023,    2.45200,   -0.64001,    0.46571,    0.00000,    1.15472,    0.00000,Segment:  33
   1.32266,    2.71246,    1.86551,   57.76666,    2.39522,   -1.02226,    0.48805,    0.00000,    1.18970,    0.00000,Segment:  34
   1.37921,    2.78426,    1.97939,   61.75213,    2.29795,   -1.71985,    0.52029,    0.00000,    1.23000,    0.00000,Segment:  35
   1.43810,    2.84707,    2.09629,   65.99928,    2.13308,   -2.80000,    0.56322,    0.00000,    1.25888,    0.00000,Segment:  36
   1.50067,    2.90013,    2.21547,   70.57304,    1.95787,   -2.80000,    0.61757,    0.00000,    1.27572,    0.00000,Segment:  37
   1.56799,    2.94270,    2.33617,   75.53817,    1.76937,   -2.80000,    0.68359,    0.00000,    1.28720,    0.00000,Segment:  38
   1.64186,    2.97404,    2.45766,   80.95408,    1.56255,   -2.80000,    0.76043,    0.00000,    1.27972,    0.00000,Segment:  39
   1.72557,    2.99338,    2.57919,   86.86590,    1.32816,   -2.80000,    0.84520,    0.00000,    1.23256,    0.00000,Segment:  40
   1.73700,    3.00000,    2.70000,   90.00000,    1.29615,   -2.80000,    0.80417,    0.00000,    4.78502,    0.00000,Segment:  41
   1.74872,    3.00000,    2.71500,   90.00000,    1.26333,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  42
   1.76076,    3.00000,    2.73000,   90.00000,    1.22963,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  43
   1.77313,    3.00000,    2.74500,   90.00000,    1.19499,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  44
   1.78587,    3.00000,    2.76000,   90.00000,    1.15931,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  45
   1.79902,    3.00000,    2.77500,   90.00000,    1.12250,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  46
   1.81261,    3.00000,    2.79000,   90.00000,    1.08444,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  47
   1.82670,    3.00000,    2.80500,   90.00000,    1.04499,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  48
   1.84134,    3.00000,    2.82000,   90.00000,    1.00399,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  49
   1.85661,    3.00000,    2.83500,   90.00000,    0.96125,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  50
   1.87259,    3.00000,    2.85000,   90.00000,    0.91652,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  51
   1.88938,    3.00000,    2.86500,   90.00000,    0.86948,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  52
   1.90714,    3.00000,    2.88000,   90.00000,    0.81976,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  53
   1.92605,    3.00000,    2.89500,   90.00000,    0.76681,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  54
   1.94637,    3.00000,    2.91000,   90.00000,    0.70993,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  55
   1.96846,    3.00000,    2.92500,   90.00000,    0.64807,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  56
   1.99289,    3.00000,    2.94000,   90.00000,    0.57966,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  57
   2.02063,    3.00000,    2.95500,   90.00000,    0.50200,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  58
   2.05353,    3.00000,    2.97000,   90.00000,    0.40988,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  59
   2.09640,    3.00000,    2.98500,   90.00000,    0.28983,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  60
   2.19991,    3.00000,    3.00000,   90.00000,    0.00000,   -2.80000,   -0.00000,    0.00000,    0.00000,    0.00000,Segment:  61
#======= TRAJECTORY END: Sample PathPlanner Trajectory
