#======= TRAJECTORY BEGIN: test path planner 2.0 conversion to CSV
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Trajectory source: Pathweaver
#--------Trajectory orientation: Robot Relative
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.00000,    0.00000,    0.00000,    0.00000,    0.09418,Segment:  1
   0.11376,    0.11376,    1.00000,    0.01294,    0.00000,    0.00000,    0.09418,Segment:  2
   0.16090,    0.27465,    3.41313,    0.02589,    0.00002,    0.00122,    0.09541,Segment:  3
   0.19708,    0.35798,    2.30273,    0.03884,    0.00005,    0.00245,    0.09665,Segment:  4
   0.22760,    0.42468,    2.18576,    0.05180,    0.00010,    0.00371,    0.09790,Segment:  5
   0.25449,    0.48209,    2.13467,    0.06477,    0.00016,    0.00498,    0.09915,Segment:  6
   0.27882,    0.53331,    2.10576,    0.07774,    0.00024,    0.00626,    0.10041,Segment:  7
   0.30119,    0.58001,    2.08712,    0.09071,    0.00034,    0.00756,    0.10167,Segment:  8
   0.32202,    0.62321,    2.07408,    0.10370,    0.00045,    0.00888,    0.10294,Segment:  9
   0.34159,    0.66361,    2.06444,    0.11668,    0.00059,    0.01022,    0.10422,Segment:  10
   0.36010,    0.70169,    2.05703,    0.12967,    0.00074,    0.01157,    0.10551,Segment:  11
   0.37772,    0.73782,    2.05115,    0.14267,    0.00091,    0.01295,    0.10680,Segment:  12
   0.39455,    0.77226,    2.04638,    0.15566,    0.00109,    0.01433,    0.10811,Segment:  13
   0.41069,    0.80524,    2.04242,    0.16866,    0.00130,    0.01574,    0.10942,Segment:  14
   0.42623,    0.83693,    2.03909,    0.18167,    0.00152,    0.01716,    0.11074,Segment:  15
   0.44123,    0.86746,    2.03625,    0.19467,    0.00176,    0.01860,    0.11207,Segment:  16
   0.45574,    0.89697,    2.03380,    0.20768,    0.00202,    0.02006,    0.11340,Segment:  17
   0.46980,    0.92553,    2.03166,    0.22069,    0.00230,    0.02154,    0.11475,Segment:  18
   0.48345,    0.95325,    2.02978,    0.23370,    0.00260,    0.02303,    0.11610,Segment:  19
